name,n_phases,r1,x1,r0,x0,c1,c0,units,r_matrix,x_matrix,c_matrix,rg,xg,rho,symmetrical_components
217,3,0.0006988163,0.0001870072,0.001525585,0.0004363501,0,0,m,[  0.00097441 |  0.00027559   0.00097441 |  0.00027559   0.00027559   0.00097441 ],[  0.00027012 |  0.00008311   0.00027012 |  0.00008311   0.00008311   0.00027012 ],[  0.00000000 |  0.00000000   0.00000000 |  0.00000000   0.00000000   0.00000000 ],0.01805,0.155081,100,true
188,1,0.0006489452,0.0005068879,0.001109578,0.001646975,0,0,m,[  0.00080249 ],[  0.00088692 ],[  0.00000000 ],0.01805,0.155081,100,true
192,3,0.0006489452,0.0005068879,0.001109578,0.001646975,0,0,m,[  0.00080249 |  0.00015354   0.00080249 |  0.00015354   0.00015354   0.00080249 ],[  0.00088692 |  0.00038003   0.00088692 |  0.00038003   0.00038003   0.00088692 ],[  0.00000000 |  0.00000000   0.00000000 |  0.00000000   0.00000000   0.00000000 ],0.01805,0.155081,100,true
197,3,0.0006988163,0.0001870072,0.001525585,0.0004363501,0,0,m,[  0.00097441 |  0.00027559   0.00097441 |  0.00027559   0.00027559   0.00097441 ],[  0.00027012 |  0.00008311   0.00027012 |  0.00008311   0.00008311   0.00027012 ],[  0.00000000 |  0.00000000   0.00000000 |  0.00000000   0.00000000   0.00000000 ],0.01805,0.155081,100,true
114,1,0.0001864107,0.0003976761,0.000459813,0.001186815,5.50744097044432E-15,5.50744097044432E-15,m,[  0.00027754 ],[  0.00066072 ],[  0.00000551 ],0.01805,0.155081,100,true
116,1,0.0001864107,0.0003976761,0.000459813,0.001186815,5.50744097044432E-15,5.50744097044432E-15,m,[  0.00027754 ],[  0.00066072 ],[  0.00000551 ],0.01805,0.155081,100,true
122,1,0.0001864107,0.0003976761,0.000459813,0.001186815,5.50744097044432E-15,5.50744097044432E-15,m,[  0.00027754 ],[  0.00066072 ],[  0.00000551 ],0.01805,0.155081,100,true
124,1,0.00005643272,0.0001026874,0.000218523,0.00005019418,0,0,m,[  0.00011046 ],[  0.00008519 ],[  0.00000000 ],0.01805,0.155081,100,true
140,3,0.0002132538,0.0001436978,0.0004166651,5.797372E-6,0,0,m,[  0.00028106 |  0.00006780   0.00028106 |  0.00006780   0.00006780   0.00028106 ],[  0.00009773 | -0.00004597   0.00009773 | -0.00004597  -0.00004597   0.00009773 ],[  0.00000000 |  0.00000000   0.00000000 |  0.00000000   0.00000000   0.00000000 ],0.01805,0.155081,100,true
141,3,0.00009186317,0.0001302513,0.0001942275,0.00006036599,0,0,m,[  0.00012598 |  0.00003412   0.00012598 |  0.00003412   0.00003412   0.00012598 ],[  0.00010696 | -0.00002330   0.00010696 | -0.00002330  -0.00002330   0.00010696 ],[  0.00000000 |  0.00000000   0.00000000 |  0.00000000   0.00000000   0.00000000 ],0.01805,0.155081,100,true
206,3,0.0006489452,0.0005068879,0.001109578,0.001646975,0,0,m,[  0.00080249 |  0.00015354   0.00080249 |  0.00015354   0.00015354   0.00080249 ],[  0.00088692 |  0.00038003   0.00088692 |  0.00038003   0.00038003   0.00088692 ],[  0.00000000 |  0.00000000   0.00000000 |  0.00000000   0.00000000   0.00000000 ],0.01805,0.155081,100,true
207,1,0.0006988163,0.0001870072,0.001525585,0.0004363501,0,0,m,[  0.00097441 ],[  0.00027012 ],[  0.00000000 ],0.01805,0.155081,100,true
211,3,0.0006988163,0.0001870072,0.001525585,0.0004363501,0,0,m,[  0.00097441 |  0.00027559   0.00097441 |  0.00027559   0.00027559   0.00097441 ],[  0.00027012 |  0.00008311   0.00027012 |  0.00008311   0.00008311   0.00027012 ],[  0.00000000 |  0.00000000   0.00000000 |  0.00000000   0.00000000   0.00000000 ],0.01805,0.155081,100,true
204,2,0.0006489452,0.0005068879,0.001109578,0.001646975,0,0,m,[  0.00080249 |  0.00015354   0.00080249 ],[  0.00088692 |  0.00038003   0.00088692 ],[  0.00000000 |  0.00000000   0.00000000 ],0.01805,0.155081,100,true
21,2,0.0006959332,0.0005219498,0.00111225,0.001615559,1.46865082513448E-15,1.46865082513448E-15,m,[  0.00083471 |  0.00013877   0.00083471 ],[  0.00088649 |  0.00036454   0.00088649 ],[  0.00000147 |  0.00000000   0.00000147 ],0.01805,0.155081,100,true
184,2,0.0006489452,0.0005068879,0.001109578,0.001646975,0,0,m,[  0.00080249 |  0.00015354   0.00080249 ],[  0.00088692 |  0.00038003   0.00088692 ],[  0.00000000 |  0.00000000   0.00000000 ],0.01805,0.155081,100,true
58,1,0.0001864107,0.0003976761,0.000459813,0.001186815,5.50744097044432E-15,5.50744097044432E-15,m,[  0.00027754 ],[  0.00066072 ],[  0.00000551 ],0.01805,0.155081,100,true
221,1,0.00009186317,0.0001302513,0.0001942275,0.00006036599,0,0,m,[  0.00012598 ],[  0.00010696 ],[  0.00000000 ],0.01805,0.155081,100,true
172,3,0.00005643272,0.0001240128,0.0007719762999999999,0.00005708516,0,0,m,[  0.00029495 |  0.00023851   0.00029495 |  0.00023851   0.00023851   0.00029495 ],[  0.00010170 | -0.00002231   0.00010170 | -0.00002231  -0.00002231   0.00010170 ],[  0.00000000 |  0.00000000   0.00000000 |  0.00000000   0.00000000   0.00000000 ],0.01805,0.155081,100,true
175,3,0.00005282257,0.0001295927,0.0008658092,0.00005380433,0,0,m,[  0.00032382 |  0.00027100   0.00032382 |  0.00027100   0.00027100   0.00032382 ],[  0.00010433 | -0.00002526   0.00010433 | -0.00002526  -0.00002526   0.00010433 ],[  0.00000000 |  0.00000000   0.00000000 |  0.00000000   0.00000000   0.00000000 ],0.01805,0.155081,100,true
176,3,0.0001017057,0.0001279523,0.0004494734,0.0001246715,0,0,m,[  0.00021763 |  0.00011592   0.00021763 |  0.00011592   0.00011592   0.00021763 ],[  0.00012686 | -0.00000109   0.00012686 | -0.00000109  -0.00000109   0.00012686 ],[  0.00000000 |  0.00000000   0.00000000 |  0.00000000   0.00000000   0.00000000 ],0.01805,0.155081,100,true
